File: orderservice
Build ID: 487c9495939a70d53cff9154f72999aaf40499a6
Type: cpu
Time: 2026-04-05 16:44:04 CEST
Duration: 120.17s, Total samples = 36.02s (29.97%)
Showing nodes accounting for -21.60s, 59.97% of 36.02s total
Dropped 950 nodes (cum <= 0.18s)
      flat  flat%   sum%        cum   cum%
    -0.02s 0.056% 57.61%     -1.56s  4.33%  github.com/jackc/pgx/v5.(*Conn).exec
    -0.02s 0.056% 57.66%     -0.22s  0.61%  github.com/jackc/pgx/v5.(*ExtendedQueryBuilder).Build
    -0.02s 0.056% 57.72%     -0.19s  0.53%  github.com/jackc/pgx/v5.(*ExtendedQueryBuilder).appendParam
    -0.02s 0.056% 57.77%     -1.30s  3.61%  github.com/jackc/pgx/v5/pgconn.(*ResultReader).readUntilRowDescription
     0.02s 0.056% 57.72%      0.90s  2.50%  github.com/segmentio/kafka-go.(*Conn).ReadBatchWith
    -0.02s 0.056% 57.77%     -0.88s  2.44%  gorm.io/gorm.(*DB).Begin
    -0.02s 0.056% 57.83%     -0.63s  1.75%  gorm.io/gorm.(*Statement).Build
    -0.02s 0.056% 57.88%     -4.18s 11.60%  gorm.io/gorm/callbacks.saveAssociations
    -0.02s 0.056% 57.94%     -0.70s  1.94%  gorm.io/gorm/logger.(*logger).Trace
    -0.02s 0.056% 58.00%     -0.23s  0.64%  internal/runtime/maps.(*Map).growToSmall
    -0.02s 0.056% 58.05%     -1.36s  3.78%  io.ReadAtLeast
    -0.02s 0.056% 58.11%     -0.89s  2.47%  math/rand.(*Rand).Int31 (inline)
    -0.02s 0.056% 58.16%     -4.11s 11.41%  net.(*netFD).Write
    -0.02s 0.056% 58.22%    -17.16s 47.64%  orderservice/internal/kafka.StartConsumer
    -0.02s 0.056% 58.27%    -12.74s 35.37%  orderservice/internal/repository.(*orderRepository).AddNewOrder.func1
    -0.02s 0.056% 58.33%     -0.14s  0.39%  reflect.packEface
    -0.02s 0.056% 58.38%     -0.16s  0.44%  reflect.valueInterface
    -0.02s 0.056% 58.44%     -0.28s  0.78%  runtime.bgsweep
    -0.02s 0.056% 58.50%     -0.17s  0.47%  runtime.convT
    -0.02s 0.056% 58.55%     -0.96s  2.67%  runtime.futexwakeup
    -0.02s 0.056% 58.61%     -0.24s  0.67%  runtime.makemap_small
    -0.02s 0.056% 58.66%     -0.58s  1.61%  runtime.makeslice
     0.02s 0.056% 58.61%      0.23s  0.64%  runtime.mallocgcLarge
    -0.02s 0.056% 58.66%     -0.39s  1.08%  runtime.mallocgcSmallNoscan
    -0.02s 0.056% 58.72%     -4.30s 11.94%  runtime.mcall
    -0.02s 0.056% 58.77%     -1.03s  2.86%  runtime.netpoll
