File: orderservice
Build ID: de62ac89963afdcde1015fe768f7da2c9809b190
Type: cpu
Time: 2026-04-05 16:44:04 CEST
Duration: 60.10s, Total samples = 36.02s (59.94%)
Showing nodes accounting for 26.79s, 74.38% of 36.02s total
Dropped 882 nodes (cum <= 0.18s)
      flat  flat%   sum%        cum   cum%
         0     0% 74.38%      0.68s  1.89%  database/sql.(*DB).execDC.func2
         0     0% 74.38%      1.05s  2.92%  database/sql.(*DB).query
         0     0% 74.38%      1.85s  5.14%  database/sql.(*DB).retry
         0     0% 74.38%      0.41s  1.14%  database/sql.(*Rows).Next
         0     0% 74.38%      0.25s  0.69%  database/sql.(*Rows).Next.func1
         0     0% 74.38%      0.25s  0.69%  database/sql.(*Rows).nextLocked
         0     0% 74.38%      0.56s  1.55%  database/sql.(*Tx).Commit
         0     0% 74.38%      0.53s  1.47%  database/sql.(*Tx).Commit.func1
         0     0% 74.38%      0.70s  1.94%  database/sql.(*Tx).ExecContext
         0     0% 74.38%      0.57s  1.58%  database/sql.ctxDriverBegin
         0     0% 74.38%      0.65s  1.80%  database/sql.ctxDriverExec
         0     0% 74.38%      5.84s 16.21%  database/sql.ctxDriverQuery
         0     0% 74.38%      0.55s  1.53%  encoding/json.(*decodeState).value
         0     0% 74.38%      0.67s  1.86%  encoding/json.Unmarshal
         0     0% 74.38%      4.23s 11.74%  github.com/go-faker/faker/v4.FakeData
         0     0% 74.38%      0.19s  0.53%  github.com/go-faker/faker/v4.UUIDHyphenated (inline)
         0     0% 74.38%      0.30s  0.83%  github.com/go-faker/faker/v4.initMapperTagWithOption
         0     0% 74.38%      0.34s  0.94%  github.com/go-faker/faker/v4.initOption
         0     0% 74.38%      2.87s  7.97%  github.com/go-faker/faker/v4.setDataWithTag
         0     0% 74.38%      1.78s  4.94%  github.com/go-faker/faker/v4.userDefinedNumber
         0     0% 74.38%      0.89s  2.47%  github.com/go-playground/validator.(*Validate).Struct (inline)
         0     0% 74.38%      0.57s  1.58%  github.com/jackc/pgx/v5.(*Conn).BeginTx
         0     0% 74.38%      1.68s  4.66%  github.com/jackc/pgx/v5.(*Conn).Exec
         0     0% 74.38%      0.59s  1.64%  github.com/jackc/pgx/v5.(*Conn).execPrepared
         0     0% 74.38%      1.05s  2.92%  github.com/jackc/pgx/v5.(*Conn).execSimpleProtocol
         0     0% 74.38%      0.23s  0.64%  github.com/jackc/pgx/v5/pgconn.(*MultiResultReader).NextResult
         0     0% 74.38%      0.22s  0.61%  github.com/jackc/pgx/v5/pgconn.(*MultiResultReader).receiveMessage
         0     0% 74.38%      0.82s  2.28%  github.com/jackc/pgx/v5/pgconn.(*PgConn).Exec
         0     0% 74.38%      5.33s 14.80%  github.com/jackc/pgx/v5/pgconn.(*PgConn).ExecPrepared
         0     0% 74.38%      0.29s  0.81%  github.com/jackc/pgx/v5/pgconn.(*PgConn).enterPotentialWriteReadDeadlock (inline)
         0     0% 74.38%      4.66s 12.94%  github.com/jackc/pgx/v5/pgconn.(*PgConn).flushWithPotentialWriteReadDeadlock
         0     0% 74.38%      1.50s  4.16%  github.com/jackc/pgx/v5/pgconn.(*PgConn).peekMessage
         0     0% 74.38%      0.26s  0.72%  github.com/jackc/pgx/v5/pgconn.(*PgConn).receiveMessage
         0     0% 74.38%      0.57s  1.58%  github.com/jackc/pgx/v5/stdlib.(*Conn).BeginTx
         0     0% 74.38%      0.53s  1.47%  github.com/jackc/pgx/v5/stdlib.wrapTx.Commit
         0     0% 74.38%      1.34s  3.72%  github.com/segmentio/kafka-go.(*Conn).do
         0     0% 74.38%      0.94s  2.61%  github.com/segmentio/kafka-go.(*Conn).doRequest
         0     0% 74.38%      0.84s  2.33%  github.com/segmentio/kafka-go.(*Conn).offsetCommit.func1
         0     0% 74.38%      0.25s  0.69%  github.com/segmentio/kafka-go.(*Conn).peekResponseSizeAndID
         0     0% 74.38%      0.33s  0.92%  github.com/segmentio/kafka-go.(*Conn).waitResponse
         0     0% 74.38%      1.34s  3.72%  github.com/segmentio/kafka-go.(*Conn).writeOperation (inline)
         0     0% 74.38%      1.71s  4.75%  github.com/segmentio/kafka-go.(*Generation).Start.func1
         0     0% 74.38%      1.71s  4.75%  github.com/segmentio/kafka-go.(*Reader).commitLoop
         0     0% 74.38%      1.71s  4.75%  github.com/segmentio/kafka-go.(*Reader).commitLoopImmediate
         0     0% 74.38%      1.45s  4.03%  github.com/segmentio/kafka-go.(*Reader).commitOffsetsWithRetry
         0     0% 74.38%      1.71s  4.75%  github.com/segmentio/kafka-go.(*Reader).run.func3
         0     0% 74.38%      0.26s  0.72%  github.com/segmentio/kafka-go.(*Reader).start.func1
         0     0% 74.38%      0.22s  0.61%  github.com/segmentio/kafka-go.(*Writer).batchMessages
         0     0% 74.38%      0.28s  0.78%  github.com/segmentio/kafka-go.(*Writer).produce
         0     0% 74.38%      0.49s  1.36%  github.com/segmentio/kafka-go.(*Writer).spawn.func1
         0     0% 74.38%      0.71s  1.97%  github.com/segmentio/kafka-go.(*conn).run
         0     0% 74.38%      0.19s  0.53%  github.com/segmentio/kafka-go.(*partitionWriter).newWriteBatch
         0     0% 74.38%      0.41s  1.14%  github.com/segmentio/kafka-go.(*partitionWriter).writeBatches
         0     0% 74.38%      0.22s  0.61%  github.com/segmentio/kafka-go.(*partitionWriter).writeMessages
         0     0% 74.38%      0.25s  0.69%  github.com/segmentio/kafka-go.(*reader).read
         0     0% 74.38%      0.26s  0.72%  github.com/segmentio/kafka-go.(*reader).run
         0     0% 74.38%      1.40s  3.89%  github.com/segmentio/kafka-go.(*timeoutCoordinator).offsetCommit
         0     0% 74.38%      0.62s  1.72%  github.com/segmentio/kafka-go/protocol.(*Conn).RoundTrip
         0     0% 74.38%      0.46s  1.28%  github.com/segmentio/kafka-go/protocol.(*Conn).Write
         0     0% 74.38%      0.46s  1.28%  github.com/segmentio/kafka-go/protocol.(*pageBuffer).WriteTo
         0     0% 74.38%      0.46s  1.28%  github.com/segmentio/kafka-go/protocol.(*pageBuffer).WriteTo.func1
         0     0% 74.38%      0.62s  1.72%  github.com/segmentio/kafka-go/protocol.RoundTrip
         0     0% 74.38%      0.61s  1.69%  github.com/segmentio/kafka-go/protocol.WriteRequest
         0     0% 74.38%      0.46s  1.28%  github.com/segmentio/kafka-go/protocol.contiguousPages.scan
         0     0% 74.38%      0.57s  1.58%  gorm.io/gorm.(*DB).Commit
         0     0% 74.38%      7.41s 20.57%  gorm.io/gorm.(*DB).Create
         0     0% 74.38%      3.66s 10.16%  gorm.io/gorm.(*DB).Find
         0     0% 74.38%      1.90s  5.27%  gorm.io/gorm.(*DB).First
         0     0% 74.38%      9.59s 26.62%  gorm.io/gorm.(*DB).FirstOrCreate
         0     0% 74.38%      0.24s  0.67%  gorm.io/gorm.(*Statement).WriteQuoted
         0     0% 74.38%      4.63s 12.85%  gorm.io/gorm/callbacks.Query
         0     0% 74.38%      0.25s  0.69%  gorm.io/gorm/clause.Values.Build
         0     0% 74.38%      7.07s 19.63%  internal/poll.ignoringEINTRIO (inline)
         0     0% 74.38%      0.22s  0.61%  internal/runtime/maps.NewEmptyMap (inline)
         0     0% 74.38%      0.25s  0.69%  internal/runtime/maps.newGroups (inline)
         0     0% 74.38%      0.25s  0.69%  internal/runtime/maps.newarray
         0     0% 74.38%      0.31s  0.86%  log.Printf (inline)
         0     0% 74.38%      1.53s  4.25%  net.(*conn).Read
         0     0% 74.38%      1.53s  4.25%  net.(*netFD).Read
         0     0% 74.38%      5.17s 14.35%  orderservice/internal/kafka.EmulateMsgSending
         0     0% 74.38%      4.63s 12.85%  orderservice/internal/mocks.GenerateMockOrder
         0     0% 74.38%      1.74s  4.83%  orderservice/internal/mocks.init.0.func1
         0     0% 74.38%     12.74s 35.37%  orderservice/internal/repository.(*orderRepository).AddNewOrder
         0     0% 74.38%      2.01s  5.58%  orderservice/internal/repository.(*orderRepository).GetOrderByUID
         0     0% 74.38%      2.01s  5.58%  orderservice/internal/service.(*orderService).GetOrderInfo
         0     0% 74.38%      0.24s  0.67%  os.(*File).Write
         0     0% 74.38%      0.25s  0.69%  reflect.StructTag.Get (inline)
         0     0% 74.38%      0.23s  0.64%  reflect.Value.Interface (inline)
         0     0% 74.38%      0.20s  0.56%  runtime.(*unwinder).next
         0     0% 74.38%      0.19s  0.53%  runtime.callers
         0     0% 74.38%      0.19s  0.53%  runtime.callers.func1
         0     0% 74.38%      0.20s  0.56%  runtime.chansend1
         0     0% 74.38%      0.25s  0.69%  runtime.entersyscall_sysmon
         0     0% 74.38%      3.35s  9.30%  runtime.gcBgMarkWorker.func2
         0     0% 74.38%      2.49s  6.91%  runtime.gcDrainMarkWorkerDedicated (inline)
         0     0% 74.38%      0.86s  2.39%  runtime.gcDrainMarkWorkerIdle (inline)
         0     0% 74.38%      2.48s  6.89%  runtime.goexit0
         0     0% 74.38%      0.21s  0.58%  runtime.goready (inline)
         0     0% 74.38%      0.33s  0.92%  runtime.markroot
         0     0% 74.38%      0.25s  0.69%  runtime.newarray
         0     0% 74.38%      0.73s  2.03%  runtime.newproc
         0     0% 74.38%      1.16s  3.22%  runtime.notewakeup
         0     0% 74.38%      0.37s  1.03%  runtime.pidlegetSpinning
         0     0% 74.38%      0.21s  0.58%  runtime.send
         0     0% 74.38%      0.21s  0.58%  runtime.unlock (inline)
         0     0% 74.38%      0.38s  1.05%  strings.Split (inline)
         0     0% 74.38%      5.64s 15.66%  syscall.Write (inline)
         0     0% 74.38%      1.40s  3.89%  syscall.read
         0     0% 74.38%      5.64s 15.66%  syscall.write
         0     0% 74.38%      0.24s  0.67%  time.Since
         0     0% 74.38%      0.55s  1.53%  time.runtimeNano
         0     0% 74.38%      0.22s  0.61%  time.when
