File: orderservice
Build ID: 487c9495939a70d53cff9154f72999aaf40499a6
Type: cpu
Time: 2026-04-15 17:14:09 CEST
Duration: 60.07s, Total samples = 8.38s (13.95%)
Showing nodes accounting for 6.35s, 75.78% of 8.38s total
Dropped 438 nodes (cum <= 0.04s)
      flat  flat%   sum%        cum   cum%
         0     0% 75.78%      1.49s 17.78%  internal/poll.(*FD).Write
         0     0% 75.78%      2.04s 24.34%  internal/poll.ignoringEINTRIO (inline)
         0     0% 75.78%      0.18s  2.15%  internal/poll.runtime_pollSetDeadline
         0     0% 75.78%      0.44s  5.25%  internal/runtime/syscall.EpollWait
         0     0% 75.78%      0.14s  1.67%  internal/sync.(*Mutex).Lock (inline)
         0     0% 75.78%      0.14s  1.67%  internal/sync.(*Mutex).lockSlow
         0     0% 75.78%      0.05s   0.6%  internal/sync.runtime_doSpin
         0     0% 75.78%      0.07s  0.84%  internal/sync.runtime_nanotime
         0     0% 75.78%      0.05s   0.6%  io.ReadAtLeast
         0     0% 75.78%      0.39s  4.65%  log.(*Logger).output
         0     0% 75.78%      0.39s  4.65%  log.Printf (inline)
         0     0% 75.78%      0.59s  7.04%  net.(*conn).Read
         0     0% 75.78%      0.15s  1.79%  net.(*conn).SetReadDeadline
         0     0% 75.78%      0.12s  1.43%  net.(*conn).SetWriteDeadline
         0     0% 75.78%      1.35s 16.11%  net.(*conn).Write
         0     0% 75.78%      0.59s  7.04%  net.(*netFD).Read
         0     0% 75.78%      0.15s  1.79%  net.(*netFD).SetReadDeadline (inline)
         0     0% 75.78%      0.12s  1.43%  net.(*netFD).SetWriteDeadline (inline)
         0     0% 75.78%      1.35s 16.11%  net.(*netFD).Write
         0     0% 75.78%      0.94s 11.22%  orderservice/internal/repository.(*orderRepository).AddNewOrdersBulk
         0     0% 75.78%      0.94s 11.22%  orderservice/internal/repository.(*orderRepository).AddNewOrdersBulk.func1
         0     0% 75.78%      1.54s 18.38%  orderservice/internal/service.(*orderService).AddNewOrdersBulk
         0     0% 75.78%      0.14s  1.67%  os.(*File).Write
         0     0% 75.78%      0.14s  1.67%  os.(*File).write (inline)
         0     0% 75.78%      0.07s  0.84%  reflect.Value.Interface (inline)
         0     0% 75.78%      0.07s  0.84%  reflect.packEface
         0     0% 75.78%      0.07s  0.84%  reflect.valueInterface
         0     0% 75.78%      0.05s   0.6%  regexp.(*Regexp).MatchString (inline)
         0     0% 75.78%      0.05s   0.6%  regexp.(*Regexp).backtrack
         0     0% 75.78%      0.05s   0.6%  regexp.(*Regexp).doExecute
         0     0% 75.78%      0.05s   0.6%  regexp.(*Regexp).doMatch (inline)
         0     0% 75.78%      0.06s  0.72%  runtime.(*mcache).nextFree
         0     0% 75.78%      0.06s  0.72%  runtime.(*mcache).refill
         0     0% 75.78%      0.07s  0.84%  runtime.(*mheap).alloc
         0     0% 75.78%      0.07s  0.84%  runtime.(*mheap).alloc.func1
         0     0% 75.78%      0.07s  0.84%  runtime.(*timers).run
         0     0% 75.78%      0.07s  0.84%  runtime.chansend1
         0     0% 75.78%      0.09s  1.07%  runtime.entersyscall
         0     0% 75.78%      0.06s  0.72%  runtime.entersyscall_sysmon
         0     0% 75.78%      0.20s  2.39%  runtime.futexwakeup
         0     0% 75.78%      0.24s  2.86%  runtime.gcBgMarkWorker.func2
         0     0% 75.78%      0.15s  1.79%  runtime.gcDrainMarkWorkerDedicated (inline)
         0     0% 75.78%      0.09s  1.07%  runtime.gcDrainMarkWorkerIdle (inline)
         0     0% 75.78%      0.11s  1.31%  runtime.goexit0
         0     0% 75.78%      0.08s  0.95%  runtime.goready (inline)
         0     0% 75.78%      0.13s  1.55%  runtime.growslice
         0     0% 75.78%      0.37s  4.42%  runtime.mPark (inline)
         0     0% 75.78%      0.32s  3.82%  runtime.makeslice
         0     0% 75.78%      0.05s   0.6%  runtime.mapaccess1
         0     0% 75.78%      0.05s   0.6%  runtime.markroot
         0     0% 75.78%      2.08s 24.82%  runtime.mcall
         0     0% 75.78%      0.17s  2.03%  runtime.memclrNoHeapPointersChunked
         0     0% 75.78%      0.07s  0.84%  runtime.newproc
         0     0% 75.78%      0.07s  0.84%  runtime.newproc.func1
         0     0% 75.78%      0.20s  2.39%  runtime.notewakeup
         0     0% 75.78%      0.09s  1.07%  runtime.pidlegetSpinning
         0     0% 75.78%      0.08s  0.95%  runtime.ready
         0     0% 75.78%         2s 23.87%  runtime.schedule
         0     0% 75.78%      0.07s  0.84%  runtime.send.goready.func1
         0     0% 75.78%      0.40s  4.77%  runtime.stopm
         0     0% 75.78%      0.23s  2.74%  runtime.wakep
         0     0% 75.78%      0.05s   0.6%  strconv.Itoa (inline)
         0     0% 75.78%      1.92s 22.91%  syscall.RawSyscall6
         0     0% 75.78%      1.49s 17.78%  syscall.Write (inline)
         0     0% 75.78%      0.54s  6.44%  syscall.read
         0     0% 75.78%      0.06s  0.72%  time.Since
         0     0% 75.78%      0.11s  1.31%  time.Until
         0     0% 75.78%      0.21s  2.51%  time.runtimeNano
         0     0% 75.78%      0.05s   0.6%  time.sendTime
