File: orderservice
Build ID: 487c9495939a70d53cff9154f72999aaf40499a6
Type: cpu
Time: 2026-04-13 15:41:41 CEST
Duration: 120.07s, Total samples = 30.45s (25.36%)
Showing nodes accounting for -17.12s, 56.22% of 30.45s total
Dropped 814 nodes (cum <= 0.15s)
      flat  flat%   sum%        cum   cum%
    -0.01s 0.033% 56.19%     -4.61s 15.14%  runtime.mcall
    -0.01s 0.033% 56.22%     -1.62s  5.32%  runtime.netpoll
    -0.01s 0.033% 56.26%     -0.26s  0.85%  runtime.newarray
    -0.01s 0.033% 56.29%     -0.73s  2.40%  runtime.newproc
     0.01s 0.033% 56.26%     -2.11s  6.93%  runtime.park_m
     0.01s 0.033% 56.22%     -0.33s  1.08%  runtime.pidleget
     0.01s 0.033% 56.19%     -0.35s  1.15%  runtime.resetspinning
     0.01s 0.033% 56.16%     -0.22s  0.72%  runtime.runqsteal
    -0.01s 0.033% 56.19%     -4.61s 15.14%  runtime.schedule
    -0.01s 0.033% 56.22%     -5.64s 18.52%  syscall.RawSyscall6
    -0.01s 0.033% 56.26%     -0.41s  1.35%  time.(*Timer).Reset
     0.01s 0.033% 56.22%     -1.07s  3.51%  time.Now
         0     0% 56.22%      0.28s  0.92%  bufio.(*Reader).fill
         0     0% 56.22%     -0.89s  2.92%  database/sql.(*DB).BeginTx
         0     0% 56.22%     -0.89s  2.92%  database/sql.(*DB).BeginTx.func1
         0     0% 56.22%     -1.22s  4.01%  database/sql.(*DB).QueryContext
         0     0% 56.22%     -1.22s  4.01%  database/sql.(*DB).QueryContext.func1
         0     0% 56.22%     -0.89s  2.92%  database/sql.(*DB).begin
         0     0% 56.22%     -0.83s  2.73%  database/sql.(*DB).beginDC
         0     0% 56.22%     -0.72s  2.36%  database/sql.(*DB).beginDC.func1
         0     0% 56.22%     -0.64s  2.10%  database/sql.(*DB).execDC.func2
         0     0% 56.22%     -1.22s  4.01%  database/sql.(*DB).query
         0     0% 56.22%     -6.81s 22.36%  database/sql.(*DB).queryDC.func1
         0     0% 56.22%     -2.11s  6.93%  database/sql.(*DB).retry
         0     0% 56.22%     -0.20s  0.66%  database/sql.(*Rows).Close
         0     0% 56.22%     -0.38s  1.25%  database/sql.(*Rows).Next
         0     0% 56.22%     -0.23s  0.76%  database/sql.(*Rows).Next.func1
         0     0% 56.22%     -0.28s  0.92%  database/sql.(*Rows).Scan
         0     0% 56.22%     -0.23s  0.76%  database/sql.(*Rows).nextLocked
         0     0% 56.22%     -0.27s  0.89%  database/sql.(*Rows).scanLocked
         0     0% 56.22%     -0.59s  1.94%  database/sql.(*Tx).Commit
         0     0% 56.22%     -0.51s  1.67%  database/sql.(*Tx).Commit.func1
